NUMERODOSSIER;iddebiteur
13571458;8143
13571464;8144
13571499;8145
13571569;8146
13571638;8147
13571666;8148
13571671;8149
13571873;8150
13572038;8151
13572327;8152
13572496;8153
13572661;8154
13573107;8155
13573237;8156
13573479;8157
13573836;8158
13573854;8159
13574012;8160
13574227;8161
13574284;8162
13574338;8163
13574472;8164
13574595;8165
13574709;8166
13574725;8167
13574771;8168
13574864;8169
13574984;8170
13574995;8171
13574996;8172
13575020;8173
13575080;8174
13575118;8175
13575313;8176
13575398;8177
13575406;8178
13575484;8179
13575515;8180
13575584;8181
13575647;8182
13575742;8183
13575816;8184
13575871;8185
13575898;8186
13575900;8187
13576349;8188
13576408;8189
13576528;8190
13576599;8191
13576688;8192
13576702;8193
13576925;8194
13576926;8195
13576941;8196
13576980;8197
13577065;8198
13577127;8199
13577128;8200
13577229;8201
13577251;8202
13577258;8203
13577277;8204
13577340;8205
13577346;8206
13577641;8207
13577687;8208
13577778;8209
13577852;8210
13578037;8211
13578186;8212
13578380;8213
13578454;8214
13578557;8215
13578604;8216
13578645;8217
13578652;8218
13579119;8219
13579186;8220
13579196;8221
13579297;8222
13579316;8223
13579324;8224
13579345;8225
13579591;8226
13579758;8227
13579789;8228
13579814;8229
13580464;8230
13580470;8231
13580792;8232
13580802;8233
13580952;8234
13580997;8235
13581096;8236
13581175;8237
13581530;8238
13581637;8239
13581650;8240
13581750;8241
13581792;8242
13581880;8243
13581958;8244
13581990;8245
13582119;8246
13582145;8247
13582182;8248
13582444;8249
13582478;8250
13582567;8251
13582827;8252
13582856;8253
13582875;8254
13582952;8255
13583036;8256
13583103;8257
13583165;8258
13583181;8259
13583333;8260
13583659;8261
13583729;8262
13583781;8263
13583927;8264
13584150;8265
13584192;8266
13584241;8267
13584336;8268
13584341;8269
13584362;8270
13584538;8271
13584661;8272
13584690;8273
13584775;8274
13584901;8275
13584969;8276
13585055;8277
13585293;8278
13585484;8279
13585539;8280
13585578;8281
13585814;8282
13585837;8283
13585993;8284
13586033;8285
13586129;8286
13586220;8287
13586356;8288
13586511;8289
13586528;8290
13586547;8291
13586666;8292
13586684;8293
13586708;8294
13587002;8295
13587032;8296
13587050;8297
13587083;8298
13587192;8299
13587198;8300
13587397;8301
13587417;8302
13587503;8303
13587569;8304
13587784;8305
13587894;8306
13588003;8307
13588030;8308
13588197;8309
13588263;8310
13588343;8311
13588347;8312
13588421;8313
13588680;8314
13589165;8315
13589258;8316
13589261;8317
13589288;8318
13589383;8319
13589749;8320
13589956;8321
13590112;8322
13590158;8323
13590299;8324
13590377;8325
